RNE;ECOLE;Adresse;Code postal;commune;Telephone;Mail;circonscription
0941337T;Ecole élémentaire Pablo Picasso;5 avenue de Valenton;94450;Limeil-Brévannes;0145995194;ce.0941337T@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941363W;Ecole maternelle les Quatre Vents;26 rue Gabriel Péri;94220;Charenton-le-Pont;0146764843;ce.0941363W@ac-creteil.fr;Circonscription  d'Alfortville
0941381R;Ecole élémentaire Henri Barbusse;4 rue du Docteur Ténine;94250;Gentilly;0147405814;ce.0941381R@ac-creteil.fr;Circonscription  d'Arcueil
0941382S;Ecole élémentaire les Quarante Arpents;Voie aux vaches;94440;Santeny;0143860918;ce.0941382S@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941384U;Ecole élémentaire Saint-Exupéry;57 bis rue Gabriel Péri;94700;Maisons-Alfort;0145183340;ce.0941384U@ac-creteil.fr;Circonscription  de Maisons-Alfort
0941387X;Ecole primaire José De Heredia;4 allée Tristan Bernard;94000;Créteil;0141789096;ce.0941387X@ac-creteil.fr;Circonscription  de Créteil 1
0941392C;Ecole élémentaire Jean Moulin;11 rue Germain Defresne;94400;Vitry-sur-Seine;0146828241;ce.0941392C@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0941393D;Ecole maternelle Charles Perrault;25 rue du Maréchal Foch;94350;Villiers-sur-Marne;0149410026;ce.0941393D@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0941425N;Ecole élémentaire Saint Exupéry;86 avenue de Versailles;94320;Thiais;0148842705;ce.0941425N@ac-creteil.fr;Circonscription  de Fresnes
0941426P;Ecole élémentaire Jules Ferry;26 rue des Tilleuls;94290;Villeneuve-le-Roi;0149615642;ce.0941426P@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0941442G;Ecole élémentaire Montaigne;2 rue de Bordeaux;94140;Alfortville;0143756480;ce.0941442G@ac-creteil.fr;Circonscription  d'Alfortville
0941448N;Ecole maternelle Jacques Prévert;2 rue Jacques Prévert;94470;Boissy-Saint-Léger;0145697370;ce.0941448N@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941456X;Ecole élémentaire Pierre Curie;13 rue du Lieutenant Le Coz;94550;Chevilly-Larue;0146868224;ce.0941456X@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0941484C;Ecole maternelle Ecole Médicis;3 rue de l'Hôtel Dieu;94150;Rungis;0179616100;ce.0941484C@ac-creteil.fr;Circonscription  de Fresnes
0941490J;Ecole maternelle Etienne de Silhouette;37 rue Aristide Briand;94360;Bry-sur-Marne;0148810407;ce.0941490J@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0941538L;Ecole primaire Victor Hugo;6 avenue Madeleine Smith Champion;94130;Nogent-sur-Marne;0188296585;ce.0941538L@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0941541P;Ecole élémentaire Léo Lagrange;Avenue du Maréchal Lyautey;94000;Créteil;0156721470;ce.0941541P@ac-creteil.fr;Circonscription  de Créteil 1
0941665Z;Ecole maternelle Jules Ferry;12 avenue des Acqueducs;94110;Arcueil;0141242545;ce.0941665Z@ac-creteil.fr;Circonscription  d'Arcueil
0941730V;Ecole maternelle Jean Rostand 2;Allée Jean Rostand;94470;Boissy-Saint-Léger;0145992797;ce.0941730V@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941731W;Ecole maternelle Félix Eboué;4 rue Thomas Edison;94000;Créteil;0156729352;ce.0941731W@ac-creteil.fr;Circonscription  de Créteil 1
0941757Z;Ecole maternelle Pierre Mendès France;2 place Mendès France;94000;Créteil;0158431072;ce.0941757Z@ac-creteil.fr;Circonscription  de Créteil 2
0941841R;Ecole maternelle d'application Denis Forestier;22 rue Micolon;94140;Alfortville;0143962641;ce.0941841R@ac-creteil.fr;Circonscription  d'Alfortville
0941854E;Ecole maternelle Jean Zay;27 rue de la Convention;94270;Le Kremlin-Bicêtre;0146727860;ce.0941854E@ac-creteil.fr;Circonscription  d'Arcueil
0941873A;Ecole primaire Gaston Defferre;7 rue Benjamin Moloise;94000;Créteil;0156712838;ce.0941873A@ac-creteil.fr;Circonscription  de Créteil 2
0941944C;Ecole élémentaire la Source;Square des Griffons;94000;Créteil;0149560105;ce.0941944C@ac-creteil.fr;Circonscription  de Créteil 2
0942044L;Ecole élémentaire Blaise Pascal;50 rue Victor Ruiz;94400;Vitry-sur-Seine;0146816321;ce.0942044L@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0942045M;Ecole élémentaire Anatole France;105 rue Balzac;94400;Vitry-sur-Seine;0146828034;ce.0942045M@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0942079Z;Ecole élémentaire La Pie;3 avenue d'Arromanches;94100;Saint-Maur-des-Fossés;0142838821;ce.0942079Z@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0942093P;Ecole maternelle les Sarrazins;63 rue des Sarrazins;94000;Créteil;0156711122;ce.0942093P@ac-creteil.fr;Circonscription  de Créteil 2
0942110H;Ecole élémentaire Paul Bert;36 bis avenue de Choisy;94190;Villeneuve-Saint-Georges;0143890532;ce.0942110H@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0942133H;Ecole maternelle Marcel Cachin;Allée Louis Bréguet;94310;Orly;0148902534;ce.0942133h@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0942164S;Ecole primaire Miss Cavell;52 avenue Miss Cavell;94100;Saint-Maur-des-Fossés;0141811079;ce.0942164S@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0942189U;Ecole maternelle Malassis-Gluck;22 voie Gluck;94400;Vitry-sur-Seine;0156201823;ce.0942189U@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0942190V;Ecole maternelle Jacques Solomon;3 rue Jacques Solomon;94500;Champigny-sur-Marne;0153881071;ce.0942190V@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0942273K;Ecole primaire Paul Barilliet;23 rue du 2 Décembre 1870;94360;Bry-sur-Marne;0148812631;ce.0942273K@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0942345N;Ecole maternelle Charles Perrault;20 bis rue Edouard Till;94400;Vitry-sur-Seine;0146828461;ce.0942345N@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0942373U;Ecole primaire Charles Péguy;4 boulevard Pablo Picasso;94000;Créteil;0148997162;ce.0942373U@ac-creteil.fr;Circonscription  de Créteil 1
0942423Y;Ecole maternelle publique Jean Jaurès;35 rue Raspail;94460;Valenton;0156320536;ce.0942423Y@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940166V;Ecole élémentaire Henri Bassis;67 rue du Monument;94500;Champigny-sur-Marne;0155093101;ce.0940166V@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940188U;Ecole élémentaire Etienne de Silhouette;68 rue de la République;94360;Bry-sur-Marne;0148810136;ce.0940188U@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940199F;Ecole élémentaire Irène Joliot-Curie;6 rue Irène Joliot-Curie;94500;Champigny-sur-Marne;0155092233;ce.0940199F@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940200G;Ecole maternelle Centre;17 rue des Jardins;94240;L'Haÿ-les-Roses;0146658959;ce.0940200G@ac-creteil.fr;Circonscription  de Cachan
0940217A;Ecole élémentaire Paul Langevin;218 rue Marcel Hartmann;94200;Ivry-sur-Seine;0149602618;ce.0940217A@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940242C;Ecole élémentaire Olympe de Gouges;56 avenue Lénine;94110;Arcueil;0182012031;ce.0940242C@ac-creteil.fr;Circonscription  d'Arcueil
0940259W;Ecole élémentaire Frédéric Joliot-Curie;104 avenue d'Alfortville;94600;Choisy-le-Roi;0148909826;ce.0940259W@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940264B;Ecole élémentaire Georges Politzer;7 rue Gaston Soufflay;94500;Champigny-sur-Marne;0155091452;ce.0940264B@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940285Z;Ecole élémentaire Paul Bert B;5 rue du Nivernais;94550;Chevilly-Larue;0146865385;ce.0940285Z@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940294J;Ecole élémentaire Centre;19 rue Auguste Blanqui;94600;Choisy-le-Roi;0148840490;ce.0940294J@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940334C;Ecole élémentaire Paul Eluard;Place du Général Leclerc;94320;Thiais;0146804460;ce.0940334C@ac-creteil.fr;Circonscription  de Fresnes
0940356B;Ecole primaire Paul Bert;46 rue Paul Bert;94130;Nogent-sur-Marne;0188296550;ce.0940356B@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940359E;Ecole élémentaire Parmentier B;6 rue Paul Vaillant-Couturier;94700;Maisons-Alfort;0145184430;ce.0940359E@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940395U;Ecole maternelle Michelet;1 rue Alfred de Musset;94120;Fontenay-sous-Bois;0171335733;ce.0940395U@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0940405E;Ecole maternelle Irène Joliot-Curie;12 rue du 18 Juin 1940;94400;Vitry-sur-Seine;0146828384;ce.0940405E@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0940414P;Ecole maternelle Jean-Jacques Rousseau;10 avenue Colonel Fabien;94400;Vitry-sur-Seine;0146822867;ce.0940414P@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940417T;Ecole maternelle Conflans;26 rue de Conflans;94220;Charenton-le-Pont;0146766730;ce.0940417T@ac-creteil.fr;Circonscription  d'Alfortville
0940424A;Ecole maternelle Est;110 rue Diderot;94300;Vincennes;0148083356;ce.0940424A@ac-creteil.fr;Circonscription  de Vincennes
0940426C;Ecole maternelle Les Marguerites;75 avenue de la Paix;94260;Fresnes;0178682517;ce.0940426C@ac-creteil.fr;Circonscription  de Fresnes
0940434L;Ecole maternelle Fontenay;6 rue de Fontenay;94130;Nogent-sur-Marne;0188296560;ce.0940434L@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940436N;Ecole maternelle Romain Gary;1 rue Romain Gary;94320;Thiais;0148924242;ce.0940436N@ac-creteil.fr;Circonscription  de Fresnes
0940437P;Ecole maternelle Gallieni;16 boulevard Gallieni;94130;Nogent-sur-Marne;0148731968;ce.0940437P@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940439S;Ecole maternelle Centre Politzer;9 rue Gaston Soufflay;94500;Champigny-sur-Marne;0155091459;ce.0940439S@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940441U;Ecole maternelle Henri Barbusse;9 rue Georgette Rostaing;94200;Ivry-sur-Seine;0149602603;ce.0940441U@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940444X;Ecole maternelle les Capucines;3 bis rue Auguste Daix;94260;Fresnes;0172045519;ce.0940444X@ac-creteil.fr;Circonscription  de Fresnes
0940449C;Ecole maternelle Irène Joliot Curie;56 rue Jean Baptiste Baudin;94800;Villejuif;0147262635;ce.0940449C@ac-creteil.fr;Circonscription  de Villejuif
0940455J;Ecole maternelle Paul Langevin;Rue Jean Mermoz;94800;Villejuif;0149584242;ce.0940455J@ac-creteil.fr;Circonscription  de Villejuif
0940457L;Ecole maternelle Jeanne d'Arc;21 rue Jeanne d'Arc;94320;Thiais;0146810107;ce.0940457L@ac-creteil.fr;Circonscription  de Fresnes
0940459N;Ecole maternelle Jules Ferry;4 avenue Jules Ferry;94360;Bry-sur-Marne;0148812624;ce.0940459N@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940465V;Ecole maternelle Allezard;38 rue Juliette Savar;94000;Créteil;0141945021;ce.0940465V@ac-creteil.fr;Circonscription  de Créteil 2
0940466W;Ecole maternelle Roland Vernaudon;5 avenue Lamartine;94300;Vincennes;0143283300;ce.0940466W@ac-creteil.fr;Circonscription  de Vincennes
0940474E;Ecole maternelle Marinville;45 avenue de Marinville;94100;Saint-Maur-des-Fossés;0148831106;ce.0940474E@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940487U;Ecole maternelle Pasteur;2 rue Pasteur;94120;Fontenay-sous-Bois;0149747988;ce.0940487U@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0940177G;Ecole élémentaire Ouest;22 rue Victor Basch;94300;Vincennes;0149579220;ce.0940177G@ac-creteil.fr;Circonscription  de Vincennes
0940190W;Ecole élémentaire Centre;Place du Maréchal Leclerc;94310;Orly;0148902460;ce.0940190W@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0940202J;Ecole élémentaire Dulcie September;5 allée Chanteclair;94200;Ivry-sur-Seine;0156207132;ce.0940202J@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940211U;Ecole élémentaire Albert Thomas;54 rue Karl Marx;94500;Champigny-sur-Marne;0141774061;ce.0940211U@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940212V;Ecole élémentaire Aimé Césaire;45 rue du Général de Gaulle;94110;Arcueil;0171562021;ce.0940212V@ac-creteil.fr;Circonscription  d'Arcueil
0940221E;Ecole élémentaire Camille Claudel;Place du Général Leclerc;94320;Thiais;0146804223;ce.0940221E@ac-creteil.fr;Circonscription  de Fresnes
0940232S;Ecole élémentaire Berty Albrecht;Allée de la Grenouillère;94260;Fresnes;0178682524;ce.0940232S@ac-creteil.fr;Circonscription  de Fresnes
0940236W;Ecole élémentaire Paul Bert;1 rue Paul Bert;94160;Saint-Mandé;0141740296;ce.0940236W@ac-creteil.fr;Circonscription  de Vincennes
0940241B;Ecole élémentaire d'application Pasteur A;3 rue Pierre Dulac;94120;Fontenay-sous-Bois;0149747986;ce.0940241B@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0940280U;Ecole élémentaire Irène Joliot-Curie B;12 rue du 18 Juin 1940;94400;Vitry-sur-Seine;0146828154;ce.0940280U@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0940287B;Ecole élémentaire Est Passeleu;108 rue Diderot;94300;Vincennes;0148083312;ce.0940287B@ac-creteil.fr;Circonscription  de Vincennes
0940301S;Ecole élémentaire Henri Cahn;26 bis boulevard Gallieni;94360;Bry-sur-Marne;0148810057;ce.0940301S@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940348T;Ecole élémentaire Polangis;56 avenue Oudinot;94340;Joinville-le-Pont;0148893216;ce.0940348T@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940351W;Ecole élémentaire Romain Rolland B;11 rue Parmentier;94500;Champigny-sur-Marne;0153881123;ce.0940351W@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940361G;Ecole élémentaire Pierre Brossolette;3 rue Pierre Brossolette;94270;Le Kremlin-Bicêtre;0153145971;ce.0940361G@ac-creteil.fr;Circonscription  d'Arcueil
0940384G;Ecole primaire d'application Decroly;49 avenue Daumesnil;94160;Saint-Mandé;0143916160;ce.0940384G@ac-creteil.fr;Circonscription  de Vincennes
0940397W;Ecole maternelle Mot;1 boulevard André Bassée;94120;Fontenay-sous-Bois;0171335396;ce.0940397W@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0940399Y;Ecole maternelle Centre;25 rue Auguste Blanqui;94600;Choisy-le-Roi;0148840416;ce.0940399Y@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940404D;Ecole maternelle Paul Bert;1 rue Paul Bert;94160;Saint-Mandé;0141740321;ce.0940404D@ac-creteil.fr;Circonscription  de Vincennes
0940413N;Ecole maternelle Paul Eluard;3 rue de Burnley;94400;Vitry-sur-Seine;0146828457;ce.0940413N@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940415R;Ecole maternelle Joliot Curie;12 avenue Auguste Gross;94380;Bonneuil-sur-Marne;0149800512;ce.0940415R@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940419V;Ecole maternelle Suzanne Buisson;31 rue Anatole France;94270;Le Kremlin-Bicêtre;0146706361;ce.0940419V@ac-creteil.fr;Circonscription  d'Arcueil
0940428E;Ecole maternelle Henri Barbusse;6 rue du Docteur Ténine;94250;Gentilly;0147405815;ce.0940428E@ac-creteil.fr;Circonscription  d'Arcueil
0940429F;Ecole maternelle George Sand;18 sentier Rabelais;94800;Villejuif;0153141180;ce.0940429F@ac-creteil.fr;Circonscription  de Villejuif
0940443W;Ecole maternelle Henri Barbusse;10 rue Henri Barbusse;94110;Arcueil;0146158375;ce.0940443W@ac-creteil.fr;Circonscription  d'Arcueil
0940445Y;Ecole maternelle Lamartine;15 rue Henri Kleynhoff;94250;Gentilly;0149699744;ce.0940445Y@ac-creteil.fr;Circonscription  d'Arcueil
0940454H;Ecole maternelle Marie et Pierre Curie;8 rue Jean Louis;94250;Gentilly;0147400342;ce.0940454H@ac-creteil.fr;Circonscription  d'Arcueil
0940477H;Ecole maternelle la Pie;10 rue Mirabeau;94100;Saint-Maur-des-Fossés;0148831692;ce.0940477H@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940482N;Ecole maternelle Danielle Casanova;49 rue de la Paix;94600;Choisy-le-Roi;0148909272;ce.0940482N@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940486T;Ecole maternelle Blancs Bouleaux;22 boulevard Pasteur;94260;Fresnes;0178682526;ce.0940486T@ac-creteil.fr;Circonscription  de Fresnes
0940499G;Ecole maternelle Raspail;67 rue Raspail;94700;Maisons-Alfort;0143536712;ce.0940499G@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940500H;Ecole maternelle Maximilien Robespierre;7 ter rue Robespierre;94200;Ivry-sur-Seine;0149602600;ce.0940500H@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940505N;Ecole maternelle Octobre;2 ter rue de Seine;94140;Alfortville;0143756349;ce.0940505N@ac-creteil.fr;Circonscription  d'Alfortville
0940506P;Ecole maternelle Plateau;4 impasse des Sureaux;94410;Saint-Maurice;0145188168;ce.0940506P@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940507R;Ecole maternelle Paul Vaillant-Couturier;4 place Paul Eluard;94800;Villejuif;0149581330;ce.0940507R@ac-creteil.fr;Circonscription  de Villejuif
0940508S;Ecole maternelle Parc des Tilleuls;19 place des Tilleuls;94100;Saint-Maur-des-Fossés;0148836944;ce.0940508S@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940514Y;Ecole maternelle Henri Wallon;37 rue Frédéric Joliot-Curie;94600;Choisy-le-Roi;0148909715;ce.0940514Y@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940525K;Ecole maternelle Robert Schuman;60 avenue de Lattre de Tassigny;94320;Thiais;0148523933;ce.0940525K@ac-creteil.fr;Circonscription  de Fresnes
0940527M;Ecole élémentaire Paul Casalis;20 rue Henri Doucet;94000;Créteil;0156711965;ce.0940527M@ac-creteil.fr;Circonscription  de Créteil 2
0940532T;Ecole élémentaire Marcel Cachin A;1 allée Louis Bréguet;94310;Orly;0148902533;ce.0940532T@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0940542D;Ecole maternelle les Garennes;35 rue du 8 Mai 1945;94240;L'Haÿ-les-Roses;0146659976;ce.0940542D@ac-creteil.fr;Circonscription  de Cachan
0940545G;Ecole maternelle Saint Exupéry;7 rue de Lorraine;94700;Maisons-Alfort;0145183342;ce.0940545G@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940571K;Ecole élémentaire Maximilien Robespierre;8 rue Daumier;94800;Villejuif;0147266100;ce.0940571K@ac-creteil.fr;Circonscription  de Villejuif
0940573M;Ecole élémentaire Henri Wallon B;99 rue Louise Aglaé Cretté;94400;Vitry-sur-Seine;0143911724;ce.0940573M@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940577S;Ecole maternelle Pauline Kergomard;31 rue Camille Blanc;94400;Vitry-sur-Seine;0146828249;ce.0940577S@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0940626V;Ecole élémentaire Les Buissons;2 avenue des Bruyères;94440;Marolles-en-Brie;0145950068;ce.0940626V@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0940637G;Ecole élémentaire Condorcet A;2 rue Condorcet;94190;Villeneuve-Saint-Georges;0143890292;ce.0940637G@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940670T;Ecole primaire Germaine Tillion;12 rue des Fusillés de Chateaubriant;94430;Chennevières-sur-Marne;0173326101;ce.0940670T@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940679C;Ecole élémentaire d'application Les Charmilles;1 rue de Rochopt;94520;Mandres-les-Roses;0145988221;ce.0940679C@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0940708J;Ecole élémentaire Jean Jaurès;1 rue Louise Adelaïde;94350;Villiers-sur-Marne;0149413094;ce.0940708J@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940712N;Ecole primaire Jeanne et Maurice Dudragne;9 avenue Monrichard;94350;Villiers-sur-Marne;0149412194;ce.0940712N@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940717U;Ecole maternelle Paul Bert;61 rue Paul Bert;94290;Villeneuve-le-Roi;0145974220;ce.0940717U@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0940724B;Ecole maternelle Anatole France;26 rue Anatole France;94490;Ormesson-sur-Marne;0145467037;ce.0940724B@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940727E;Ecole maternelle Parc Montaleau;30 rue Montaleau;94370;Sucy-en-Brie;0145902988;ce.0940727E@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0940728F;Ecole maternelle Cité Verte;3 ter avenue Georges Pompidou;94370;Sucy-en-Brie;0149829360;ce.0940728F@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0940733L;Ecole maternelle Anatole France;36 rue Anatole France;94190;Villeneuve-Saint-Georges;0143898110;ce.0940733L@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940739T;Ecole maternelle Paul Bert;Place Moulierat;94190;Villeneuve-Saint-Georges;0143822834;ce.0940739T@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940746A;Ecole maternelle Paul Eluard;Rue Gaston Monmousseau;94460;Valenton;0143863718;ce.0940746A@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940752G;Ecole maternelle La Fosse Rouge;51 rue du Grand Val;94370;Sucy-en-Brie;0149829240;ce.0940752G@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0940755K;Ecole élémentaire Romain Rolland B;5 avenue Romain Rolland;94380;Bonneuil-sur-Marne;0149805203;ce.0940755K@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940777J;Ecole élémentaire Maurice Thorez A;22 rue du 11 Novembre 1918;94500;Champigny-sur-Marne;0155984102;ce.0940777J@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940798G;Ecole maternelle Danielle Casanova;Avenue Danielle Casanova;94500;Champigny-sur-Marne;0155091705;ce.0940798G@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940801K;Ecole élémentaire Maurice Rousseau;52 avenue Claire;94430;Chennevières-sur-Marne;0145760783;ce.0940801K@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940901U;Ecole maternelle Danielle Casanova;5 rue du 10 juillet 1940;94400;Vitry-sur-Seine;0625337872;ce.0940901U@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0940907A;Ecole primaire Jean Renon;2 route de Combault;94350;Villiers-sur-Marne;0149302437;ce.0940907A@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0941060S;Ecole élémentaire Paul Eluard B;3 rue de Burnley;94400;Vitry-sur-Seine;0146828455;ce.0941060S@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0941121H;Ecole élémentaire Anatole France;22 rue d'Alsace Lorraine;94450;Limeil-Brévannes;0145696635;ce.0941121H@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941141E;Ecole maternelle Jean de La Fontaine;5 rue Albert Camus;94190;Villeneuve-Saint-Georges;0143822560;ce.0941141E@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0941158Y;Ecole maternelle Robert Lebon;31 rue Lamartine;94800;Villejuif;0141734630;ce.0941158Y@ac-creteil.fr;Circonscription  de Villejuif
0941203X;Ecole maternelle Paul Langevin;Rue Aimé et Eugénie Cotton;94120;Fontenay-sous-Bois;0171335832;ce.0941203X@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0941204Y;Ecole maternelle Henri Wallon;29 rue Sacco et Vanzetti;94800;Villejuif;0146773880;ce.0941204Y@ac-creteil.fr;Circonscription  de Villejuif
0941206A;Ecole maternelle Pont Royal;15 avenue du Pont Royal;94230;Cachan;0146659367;ce.0941206A@ac-creteil.fr;Circonscription  de Cachan
0941207B;Ecole élémentaire les Frères Lumière;2 rue des Fournières;94260;Fresnes;0178682545;ce.0941207B@ac-creteil.fr;Circonscription  de Fresnes
0941209D;Ecole élémentaire Geneviève De Gaulle-Anthonioz;7-11 rue Olympe de Gouges;94240;L'Haÿ-les-Roses;0146865996;ce.0941209D@ac-creteil.fr;Circonscription  de Cachan
0941257F;Ecole élémentaire Paul Langevin;1 rue Paul Langevin;94120;Fontenay-sous-Bois;0171335833;ce.0941257F@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0941259H;Ecole élémentaire Gustave Courbet;8 rue du Président Allende;94250;Gentilly;0149865352;ce.0941259H@ac-creteil.fr;Circonscription  d'Arcueil
0941264N;Ecole maternelle Henri Wallon;3 rue Louise du Pierry;94450;Limeil-Brévannes;0156864463;ce.0941264N@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941273Y;Ecole élémentaire les Bruyères;24 boulevard de la Liberté;94370;Sucy-en-Brie;0149829250;ce.0941273Y@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941316V;Ecole élémentaire Jean Macé;12 rue Fernand Forest;94110;Arcueil;0145478222;ce.0941316V@ac-creteil.fr;Circonscription  d'Arcueil
0941317W;Ecole élémentaire Aristide Briand B;2 place Aristide Briand;94220;Charenton-le-Pont;0146764432;ce.0941317W@ac-creteil.fr;Circonscription  d'Alfortville
0941321A;Ecole élémentaire Raspail;44 avenue Georges Clemenceau;94700;Maisons-Alfort;0143536710;ce.0941321A@ac-creteil.fr;Circonscription  de Maisons-Alfort
0941327G;Ecole élémentaire Cité Verte;1 avenue de la Cité verte;94370;Sucy-en-Brie;0149829361;ce.0941327G@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941335R;Ecole maternelle Rosa Luxemburg;59 avenue de Valenton;94450;Limeil-Brévannes;0145992778;ce.0941335R@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941336S;Ecole maternelle Gournay;Chemin de Gournay;94510;La Queue-en-Brie;0145762778;ce.0941336S@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941339V;Ecole élémentaire Jean Jaurès;35 rue Raspail;94460;Valenton;0156320536;ce.0941339V@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0941367A;Ecole maternelle Henri Wallon 2;1 rue Henri Wallon;94120;Fontenay-sous-Bois;0171335364;ce.0941367A@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0941375J;Ecole élémentaire Eugenie Cotton;500 rue de Bernau;94500;Champigny-sur-Marne;0141774151;ce.0941375J@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0941377L;Ecole élémentaire Aristide Briand A;2 place Aristide Briand;94220;Charenton-le-Pont;0146764431;ce.0941377L@ac-creteil.fr;Circonscription  d'Alfortville
